"id";"frequency";"route";"operator";"brand";"name";"trains";"color";"booking_also";"information_also";"source";
"btib";"d";"Budapest – Timisoara – București";"MAV";;;"ett tågpar IR 1695/78";"red";;;;
"bsib";"d";"Budapest – Sighisoara – București";"MAV";;"Ister";;"maroon";;;;
"bb";"d";"Wien – Budapest – București";"MAV CFR";;"Dacia";;"yellow green";;;;"sovvagn bara delvis?"
;;;;;;;;;;;
"arco";"d";"Arad – București – Constanța";"CFR";;;"ett tågpar IR1821,1822";"orange";;;;
"tibo";"d";"Timisoara – Botoșani/Iasi/Sighetu Marmației";"CFR";;;;"blue";;;;"flera tåg"
"bbis";"d";"București – Bistrita/Satu Mare/Targu Mures";"CFR";;;"ett tågpar, delas";"green";;;;
"bbis";"d";"București – Sighetu Marmației";"CFR";;;;"green";;;;
"bbis";"d";"București – Cluj-Napoca";"CFR";;;;"green";;;;
"bors";"d";"București – Oradea – Satu Mare";"CFR";;;;"pink";;;;
"bbot";"d";"București – Botosani/Chișinău/Suceava/Vatra Dornei";"CFR";;;"ett tågpar till Botosani/Suceava, delas. varsitt tågpar i övrigt";"turqoise";;;;
"buki";"w";"București – Kyiv";"UZ";;"Bukowina";"kursvagnar";"light green";;;;
"bias";"d";"București – Iasi";"CFR";;;;"light pink";;;;
;;;;;;;;;;;
"buth";"s";"București – Thessaloniki";"CFR";;;;"yellow";;;"https://rail.cc/en/night-train/București-thessaloniki-d-461-1461/562";
;;;;;;;;;;;
"si";"d";"Belgrad/București – Sofia – Istanbul";"BDZ";;;;"dark green";;;;
"si_b";"s";"Belgrad-";"SV";;;;"dark green";"BDZ";;"http://www.srbrail.rs/red_voznje1/kursnak/index_eng.htm";
"si_bu";"s";"București-";"CFR";;;;"dark green";"BDZ";;;
"sbur";"d";"Sofia – Burgas";"BDZ";;;;"green";;;"http://razpisanie.bdz.bg/";
"sdob";"d";"Sofia – Dobrich/Varna";"BDZ";;;;"turqoise";;;;
"ssil";"d";"Sofia – Silistra";"BDZ";;;;"yellow green";;;;
"spvar";"d";"Sofia – Pleven – Varna";"BDZ";;;;"red";;;;
"vapl";"d";"Varna – Plovdiv";"BDZ";;;;"blue";;;;
;;;;;;;;;;;
"kiod";"d";"Odessa – Kyiv/Lviv";"UZ";;;"ett tågpar per destination";"blue";;;;
"kilv";"d";"Kyiv – Lviv – Ivano-Frankivsk/Przemysl/Truskavets";"UZ";;;"ett tågpar per destination";"red";;;;
"khuj";"d";"Odessa/Kharkiv – Lviv – Ujgorod/Chernovcy/Solotvyno";"UZ";;;;"green";;;;
"khuj_u";"w";"-Ujgorod";"UZ";;;;"green";;;;
